 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano/mês processamento
Período:Jan/2019-Ago/2020
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"130050 Barreirinha";64309,59;39088,50;59609,24;58232,74;39553,02;-;-;59204,32;41454,41;-;-;-;-;-;-;-;-;-;-;-;361451,82
"130060 Benjamin Constant";59638,72;50918,30;66422,66;71862,60;73184,99;82595,43;83611,12;84216,80;85049,17;84445,26;93186,76;100507,65;89580,20;83059,37;66157,36;64005,66;96413,19;87732,66;-;-;1422587,90
"130063 Beruri";-;11748,98;14428,94;17415,78;6973,45;26442,14;22504,68;18187,38;-;-;12107,23;11743,65;13157,77;14346,19;18072,92;13736,39;-;-;-;-;200865,50
"130068 Boa Vista do Ramos";17698,14;17179,04;15966,67;14208,18;22702,25;15133,11;24827,58;31055,95;21868,62;16509,02;16983,87;20893,89;26757,87;22797,99;24333,53;17086,75;29011,65;16860,93;47106,25;22380,02;441361,31
"130070 Boca do Acre";58943,58;54539,59;40938,62;67038,64;65559,86;51455,81;47323,71;59652,09;68862,45;42443,26;44440,46;51851,34;48541,02;60503,57;87133,63;41667,38;58032,88;55607,61;61624,83;52692,34;1118852,67
"130080 Borba";66007,61;65376,98;82512,56;58491,17;79311,79;84251,17;72408,16;89924,51;42040,55;77985,01;64005,62;68927,23;79506,43;79331,65;56556,63;54458,21;85360,60;82574,11;75869,38;35276,21;1400175,58
"130083 Caapiranga";15030,47;13198,77;13295,89;12556,21;15708,25;10334,06;11649,41;5525,46;-;5095,88;1773,60;-;7279,17;15560,45;22006,55;17553,92;13815,33;22150,25;19914,82;25001,58;247450,07
"130090 Canutama";11559,85;15978,94;12176,59;15899,18;13584,23;13796,00;14729,54;13006,81;20297,55;13787,85;16982,47;13092,77;14586,11;16147,87;8686,89;9820,81;14056,69;12153,85;-;-;250344,00
"130100 Carauari";19509,53;32244,11;29916,36;38767,06;44683,10;73488,96;64149,86;37560,06;52449,19;68130,30;94550,59;82647,81;54422,22;66628,44;94962,32;68575,72;62968,18;44699,89;49487,18;71691,24;1151532,12
"130110 Careiro";18374,00;29326,05;28414,57;33118,36;37441,89;36314,53;41767,02;33505,61;65950,05;55032,26;30118,19;19029,27;47236,04;36274,24;28324,03;14092,96;66638,85;54108,00;38704,42;25210,07;738980,41
"130120 Coari";158963,77;154345,24;205365,35;215541,14;207837,90;184307,42;174582,54;192911,75;209934,98;226273,20;186244,82;141442,09;198951,86;149461,07;213540,20;102393,81;301224,34;289339,93;196091,60;183053,90;3891806,91
